Term,coursenumber,coursename,instructor,enrollment,level
201603,350,Labor Market Issues,"Nguyen, Tuan Anh",86,1
201603,360,Issues in IO,"McKenzie, Taylor",88,1
201603,370,Money and Banking,"Dombeck, Brian",88,1
201603,380,Intl Econ Issues,"Friedt, Felix",39,1
201603,380,Intl Econ Issues,"Haynes, Stephen",88,1
201603,399,Behavioral Econ,"Wu, Jiabin",57,1
201603,399,Inequality,"Jerman, Michael",45,1
201603,410,Crime Economics,"Hansen, Ben",78,2
201603,419,Econ Analysis of Community Issue,"Harbaugh, Bill",17,1
201603,421,Intro to Econometrics,"Weber, Caroline",94,1
201603,421,Intro to Econometrics,"Thoma, Mark",69,1
201603,425,Econometrics III,"Cameron, Trudy",23,2
201603,427,Games and Decisions,"Wu, Jiabin",74,2
201603,428,Behav and Exp Econ,"Harbaugh, Bill",75,2
201603,432,Economy of PNW,"Whitelaw, Ed",43,2
201603,434,Environmental Econ,"Cil, Gulcan",43,2
201603,450,Labor Economics,"Birk, Erica",60,2
201603,460,Theory of IO,"Waddell, Glen",64,2
201603,462,Transportation,"Wilson, Wes",70,2
201603,470,Monetary Policy,"McClung, Nigel",67,2
201603,493,History of Economic Thought,"Stageberg, Stephen",52,2
201603,607,"Applied Behavioral Economics, Applied Behavioral Economics","Kuhn, Mike",9,3
201603,607,Core Macro,"Evans, David",18,3
201603,607,Core Micro,"Kolpin, Van",22,3
201603,607,Industrial Organizations,"Wilson, Wes",3,3
201603,607,Labor/Urban,"Waddell, Glen",9,3
201603,607,Taxation,"Weber, Caroline",6,3
201602,201,Intro to Econ Analysis: Micro,"Waddell, Glen",340,0
201602,201,Intro to Econ Analysis: Micro,"Harbaugh, Bill",31,0
201602,201,Intro to Econ Analysis: Micro,"Minard, Simeon",342,0
201602,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",156,0
201602,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",328,0
201602,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",333,0
201602,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",115,0
201602,311,Inter Micro Theory,"McNichols, Drew",105,1
201602,311,Inter Micro Theory,"Adams, Nathan",99,1
201602,311,Inter Micro Theory,"Rashid, Amani",103,1
201602,313,Inter Macro Theory,"Nighswander, Tristan",98,1
201602,313,Inter Macro Theory,"Brennan, Benjamin",97,1
201602,313,Inter Macro Theory,"Thoma, Mark",75,1
201602,320,Intro to Econometrics,"Mueller (Scawinski), Rosie",91,1
201602,320,Intro to Econometrics,"Thoma, Mark",72,1
201602,327,Intro to Game Theory,"Ellis, Chris",90,1
201602,330,Urban and Regional,"Cil, Gulcan",90,1
201602,333,Resource and Env Econ Issues,"Wilson, Kyle",65,1
201602,340,Issues in Public Econ,"Hunt, Erin",56,1
201602,350,Labor Market Issues,"Imboden, Christian",85,1
201602,360,Issues in IO,"Walch, Ryan",45,1
201602,370,Money and Banking,"Wood, Nicholas",88,1
201602,380,Intl Econ Issues,"Stageberg, Stephen",78,1
201602,380,Intl Econ Issues,"Haynes, Stephen",45,1
201602,390,Probs/Issues in Dev Econ,"Bhattacharyya, Paulomi",59,1
201602,413,Advanced Macro Theory,"McGough, Bruce",8,2
201602,418,Econ Analysis of Community Issue,"Harbaugh, Bill",17,1
201602,421,Intro to Econometrics,"Weber, Caroline",133,1
201602,422,Forecasting,"Duy, Tim",51,1
201602,424,Econometrics II,"Evans, George",27,2
201602,427,Games and Decisions,"van den Nouweland, Anne",25,2
201602,440,Public Econ,"Ellis, Chris",76,2
201602,441,Public Econ: Taxation,"Weber, Caroline",76,2
201602,460,Theory of IO,"Waddell, Glen",79,2
201602,470,Monetary Policy,"McClung, Nigel",58,2
201602,481,Intl Trade,"Cristea, Anca",80,2
201602,482,Globalization,"Cristea, Anca",76,2
201602,490,Econ Growth and Development,"Burlando, Alfredo",16,2
201602,607,Core Macro,"Chakraborty, Shankha",18,3
201602,607,Core Micro,"van den Nouweland, Anne",22,3
201602,607,Development,"Burlando, Alfredo",11,3
201602,607,Environmental,"Cameron, Trudy",8,3
201602,607,Macro Field,"Evans, George",6,3
201602,607,Micro Econometrics,"Wilson, Wes",11,3
201601,101,Contemporary Economic Issues,"Urbancic, Mike",238,0
201601,201,Intro to Econ Analysis: Micro,"Miller, Keaton",306,0
201601,201,Intro to Econ Analysis: Micro,"Birk, Erica",241,0
201601,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",148,0
201601,202,Intro to Econ Analysis: Macro,"Falconer, Jean",198,0
201601,202,Intro to Econ Analysis: Macro,"Duy, Tim",247,0
201601,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",99,0
201601,311,Inter Micro Theory,"Kuhn, Mike",94,1
201601,311,Inter Micro Theory,"Selby, Rebekah",89,1
201601,311,Inter Micro Theory,"Burlando, Alfredo",94,1
201601,311,Inter Micro Theory,"Burlando, Alfredo",96,1
201601,313,Inter Macro Theory,"Evans, George",90,1
201601,313,Inter Macro Theory,"Evans, George",89,1
201601,313,Inter Macro Theory,"Wheeler, William",16,1
201601,313,Inter Macro Theory,"Thoma, Mark",54,1
201601,320,Intro to Econometrics,"Mueller (Scawinski), Rosie",94,1
201601,320,Intro to Econometrics,"Thoma, Mark",67,1
201601,333,Resource and Env Econ Issues,"Wilson, Kyle",87,1
201601,340,Issues in Public Econ,"Biemiller, Nathan",76,1
201601,350,Labor Market Issues,"Imboden, Christian",86,1
201601,360,Issues in IO,"McKenzie, Taylor",87,1
201601,370,Money and Banking,"Dombeck, Brian",89,1
201601,380,Intl Econ Issues,"Stageberg, Stephen",46,1
201601,380,Intl Econ Issues,"Haynes, Stephen",111,1
201601,390,Probs/Issues in Dev Econ,"Bhattacharyya, Paulomi",53,1
201601,399,Health Econ,"Nguyen, Tuan Anh",17,1
201601,410,"Computational Eocnomics, EC Policy Analysis","Evans, David",21,2
201601,410,Political Economy,"Ellis, Chris",32,2
201601,410,Econ Prob PNW Cities,"Whitelaw, Ed",19,2
201601,411,Advanced Micro Theory,"van den Nouweland, Anne",7,2
201601,421,Intro to Econometrics,"Cil, Gulcan",89,1
201601,423,Econometrics,"Kolpin, Van",30,2
201601,427,Games and Decisions,"Wu, Jiabin",54,2
201601,440,Public Econ,"Ellis, Chris",77,2
201601,451,Issues in Labor Economics,"Kuhn, Mike",85,2
201601,461,IO and Public Policy,"Friedt, Felix",55,2
201601,470,Monetary Policy,"Duy, Tim",80,2
201601,480,Intl Finance,"Chakraborty, Shankha",79,2
201601,481,Intl Trade,"Cristea, Anca",82,2
201601,491,Issues Growth and Development.,"Chakraborty, Shankha",33,2
201601,607,Core Macro,"Thoma, Mark",18,3
201601,607,Core Micro,"Wu, Jiabin",22,3
201601,607,International,"Cristea, Anca",10,3
201601,607,Industrial Organizations,"Miller, Keaton",9,3
201601,607,Macro Field,"Evans, David",9,3
201601,607,Time Series,"Piger, Jeremy",17,3
201503,201,Intro to Econ Analysis: Micro,"Waddell, Glen",333,0
201503,201,Intro to Econ Analysis: Micro,"Miller, Keaton",335,0
201503,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",147,0
201503,202,Intro to Econ Analysis: Macro,"Fulton, Chad",269,0
201503,202,Intro to Econ Analysis: Macro,"Gelfer, Sacha",325,0
201503,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",142,0
201503,311,Inter Micro Theory,"Thacker, Michael",83,1
201503,311,Inter Micro Theory,"Burlando, Alfredo",88,1
201503,311,Inter Micro Theory,"Burlando, Alfredo",98,1
201503,313,Inter Macro Theory,"Check, Adam",32,1
201503,313,Inter Macro Theory,"Nighswander, Tristan",88,1
201503,313,Inter Macro Theory,"Nguyen, Tuan Anh",84,1
201503,313,Inter Macro Theory,"Thoma, Mark",67,1
201503,320,Intro to Econometrics,"Mastromonaco, Ralph",60,1
201503,320,Intro to Econometrics,"Thoma, Mark",57,1
201503,330,Urban and Regional,"Urbancic, Mike",199,1
201503,340,Issues in Public Econ,"Voorheis, John",60,1
201503,350,Labor Market Issues,"Corbett, Colin",88,1
201503,360,Issues in IO,"Wyer, Joseph",89,1
201503,370,Money and Banking,"Brennan, Benjamin",90,1
201503,380,Intl Econ Issues,"Stageberg, Stephen",55,1
201503,380,Intl Econ Issues,"Haynes, Stephen",173,1
201503,390,Probs/Issues in Dev Econ,"McKenzie, Taylor",89,1
201503,390,Probs/Issues in Dev Econ,"Bhattacharyya, Paulomi",43,1
201503,399,Behavioral Econ,"Wu, Jiabin",31,1
201503,410,Crime Economics,"Hansen, Ben",92,2
201503,410,Globalization,"Cristea, Anca",66,2
201503,419,Econ Analysis of Community Issue,"Harbaugh, Bill",10,1
201503,421,Intro to Econometrics,"Weber, Caroline",144,1
201503,425,Econometrics III,"Cameron, Trudy",20,2
201503,427,Games and Decisions,"Wu, Jiabin",80,2
201503,432,Economy of PNW,"Whitelaw, Ed",33,2
201503,434,Environmental Econ,"Mastromonaco, Ralph",80,2
201503,435,Natural Resource Econ,"Cameron, Trudy",48,2
201503,443,Health Econ,"Hansen, Ben",88,2
201503,451,Issues in Labor Economics,"Urbancic, Mike",82,2
201503,481,Intl Trade,"Cristea, Anca",87,2
201503,607,"Applied Behavioral Economics, Applied Behavioral Economics","Kuhn, Mike",5,3
201503,607,Bayesian Economtrics,"Piger, Jeremy",13,3
201503,607,Core Macro,"Evans, David",13,3
201503,607,Core Micro,"Kolpin, Van",18,3
201503,607,Game Theory,"Kolpin, Van",3,3
201503,607,Industrial Organizations,"Miller, Keaton",7,3
201503,607,Labor/Urban,"Waddell, Glen",8,3
201502,201,Intro to Econ Analysis: Micro,"Selby, Rebekah",338,0
201502,201,Intro to Econ Analysis: Micro,"Harbaugh, Bill",29,0
201502,201,Intro to Econ Analysis: Micro,"Rashid, Amani",90,0
201502,201,Intro to Econ Analysis: Micro,"Waddell, Glen",279,0
201502,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",206,0
201502,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",315,0
201502,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",325,0
201502,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",111,0
201502,311,Inter Micro Theory,"Minard, Simeon",88,1
201502,311,Inter Micro Theory,"McClung, Nigel",91,1
201502,311,Inter Micro Theory,"Jerman, Michael",62,1
201502,311,Inter Micro Theory,"Dombeck, Brian",90,1
201502,313,Inter Macro Theory,"McGough, Bruce",124,1
201502,313,Inter Macro Theory,"Nighswander, Tristan",49,1
201502,313,Inter Macro Theory,"Evans, David",73,1
201502,313,Inter Macro Theory,"Thoma, Mark",75,1
201502,320,Intro to Econometrics,"Nguyen, Tuan Anh",105,1
201502,320,Intro to Econometrics,"Thoma, Mark",42,1
201502,327,Intro to Game Theory,"Ellis, Chris",89,1
201502,333,Resource and Env Econ Issues,"Mueller (Scawinski), Rosie",56,1
201502,340,Issues in Public Econ,"Hunt, Erin",88,1
201502,350,Labor Market Issues,"Adams, Nathan",91,1
201502,360,Issues in IO,"Bryan, Thomas",85,1
201502,370,Money and Banking,"Check, Adam",87,1
201502,380,Intl Econ Issues,"Friedt, Felix",87,1
201502,380,Intl Econ Issues,"Haynes, Stephen",163,1
201502,390,Probs/Issues in Dev Econ,"Bhattacharyya, Paulomi",41,1
201502,410,"Computational Eocnomics, EC Policy Analysis","Evans, David",20,2
201502,410,Globalization,"Cristea, Anca",78,2
201502,413,Advanced Macro Theory,"McGough, Bruce",12,2
201502,418,Econ Analysis of Community Issue,"Harbaugh, Bill",13,1
201502,421,Intro to Econometrics,"Weber, Caroline",130,1
201502,422,Forecasting,"Duy, Tim",47,1
201502,424,Econometrics II,"Evans, George",24,2
201502,440,Public Econ,"Ellis, Chris",78,2
201502,443,Health Econ,"Hansen, Ben",92,2
201502,450,Labor Economics,"Birk, Erica",80,2
201502,460,Theory of IO,"Waddell, Glen",71,2
201502,480,Intl Finance,"Chakraborty, Shankha",94,2
201502,481,Intl Trade,"Cristea, Anca",81,2
201502,493,History of Economic Thought,"Stageberg, Stephen",40,2
201502,607,Core Macro,"Evans, George",13,3
201502,607,Core Micro,"van den Nouweland, Anne",18,3
201502,607,Environmental,"Cameron, Trudy",12,3
201502,607,Macro Field,"Chakraborty, Shankha",10,3
201502,607,Micro Econometrics,"Hansen, Ben",13,3
201501,101,Contemporary Economic Issues,"Urbancic, Mike",223,0
201501,201,Intro to Econ Analysis: Micro,"Selby, Rebekah",275,0
201501,201,Intro to Econ Analysis: Micro,"Miller, Keaton",292,0
201501,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",147,0
201501,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",256,0
201501,202,Intro to Econ Analysis: Macro,"Duy, Tim",331,0
201501,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",143,0
201501,311,Inter Micro Theory,"McClung, Nigel",88,1
201501,311,Inter Micro Theory,"Jerman, Michael",86,1
201501,311,Inter Micro Theory,"Kuhn, Mike",89,1
201501,311,Inter Micro Theory,"Dombeck, Brian",143,1
201501,313,Inter Macro Theory,"Evans, George",87,1
201501,313,Inter Macro Theory,"Evans, George",88,1
201501,313,Inter Macro Theory,"Gelfer, Sacha",84,1
201501,313,Inter Macro Theory,"Thoma, Mark",66,1
201501,320,Intro to Econometrics,"Mastromonaco, Ralph",123,1
201501,320,Intro to Econometrics,"Thoma, Mark",72,1
201501,327,Intro to Game Theory,"Ellis, Chris",88,1
201501,333,Resource and Env Econ Issues,"Kolstoe, Sonja",86,1
201501,340,Issues in Public Econ,"Voorheis, John",85,1
201501,350,Labor Market Issues,"Corbett, Colin",90,1
201501,360,Issues in IO,"Wyer, Joseph",89,1
201501,370,Money and Banking,"Fulton, Chad",85,1
201501,380,Intl Econ Issues,"Friedt, Felix",85,1
201501,380,Intl Econ Issues,"Haynes, Stephen",149,1
201501,390,Probs/Issues in Dev Econ,"McKenzie, Taylor",87,1
201501,411,Advanced Micro Theory,"van den Nouweland, Anne",11,2
201501,421,Intro to Econometrics,"Wilson, Wes",112,1
201501,423,Econometrics,"Kolpin, Van",30,2
201501,427,Games and Decisions,"Wu, Jiabin",52,2
201501,450,Labor Economics,"Birk, Erica",59,2
201501,451,Issues in Labor Economics,"Kuhn, Mike",75,2
201501,461,IO and Public Policy,"Thacker, Michael",71,2
201501,470,Monetary Policy,"Falconer, Jean",59,2
201501,480,Intl Finance,"Chakraborty, Shankha",81,2
201501,490,Econ Growth and Development,"Burlando, Alfredo",76,2
201501,491,Issues Growth and Development.,"Chakraborty, Shankha",55,2
201501,607,Core Macro,"McGough, Bruce",14,3
201501,607,Core Micro,"Wu, Jiabin",19,3
201501,607,Environmental,"Mastromonaco, Ralph",16,3
201501,607,Monetary Theory,"Thoma, Mark",10,3
201501,607,Public,"Ellis, Chris",10,3
201501,607,Time Series,"Piger, Jeremy",15,3
201403,201,Intro to Econ Analysis: Micro,"Fitch-Fleischmann, Benjamin",343,0
201403,201,Intro to Econ Analysis: Micro,"Waddell, Glen",331,0
201403,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",329,0
201403,202,Intro to Econ Analysis: Macro,"Fulton, Chad",271,0
201403,311,Inter Micro Theory,"Query, Jason",117,1
201403,311,Inter Micro Theory,"Burlando, Alfredo",123,1
201403,313,Inter Macro Theory,"Friedt, Felix",101,1
201403,313,Inter Macro Theory,"Voorheis, John",95,1
201403,313,Inter Macro Theory,"Birk, Erica",99,1
201403,320,Intro to Econometrics,"Mastromonaco, Ralph",118,1
201403,327,Intro to Game Theory,"Urbancic, Mike",125,1
201403,340,Issues in Public Econ,"Wilson, Matthew",72,1
201403,350,Labor Market Issues,"Lee, Logan",89,1
201403,370,Money and Banking,"Roehling, Allison",105,1
201403,390,Probs/Issues in Dev Econ,"Thompson, Jonathan",105,1
201403,419,Econ Analysis of Community Issue,"Stone, Joe",18,1
201403,421,Intro to Econometrics,"Weber, Caroline",121,1
201403,425,Econometrics III,"Cameron, Trudy",19,2
201403,428,Behav and Exp Econ,"Harbaugh, Bill",60,2
201403,432,Economy of PNW,"Whitelaw, Ed",42,2
201403,434,Environmental Econ,"Mastromonaco, Ralph",48,2
201403,441,Public Econ: Taxation,"Weber, Caroline",59,2
201403,443,Health Econ,"Hansen, Ben",81,2
201403,451,Issues in Labor Economics,"Kuhn, Mike",68,2
201403,460,Theory of IO,"Waddell, Glen",41,2
201403,480,Intl Finance,"Chakraborty, Shankha",80,2
201403,481,Intl Trade,"Cristea, Anca",81,2
201403,607,"Applied Behavioral Economics, Applied Behavioral Economics","Kuhn, Mike",11,3
201403,607,Computational,"McGough, Bruce",8,3
201403,607,Core Macro,"McGough, Bruce",14,3
201403,607,Core Micro,"Kolpin, Van",16,3
201403,607,Health/Crime,"Hansen, Ben",7,3
201403,607,International,"Cristea, Anca",9,3
201403,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",135,0
201403,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",116,0
201403,311,Inter Micro Theory,"Burlando, Alfredo",124,1
201403,320,Intro to Econometrics,"Thoma, Mark",58,1
201403,380,Intl Econ Issues,"Haynes, Stephen",90,1
201402,201,Intro to Econ Analysis: Micro,"Sly, Nick",338,0
201402,201,Intro to Econ Analysis: Micro,"Cil, Gulcan",278,0
201402,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",213,0
201402,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",332,0
201402,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",269,0
201402,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",98,0
201402,311,Inter Micro Theory,"Hansen, Ben",93,1
201402,311,Inter Micro Theory,"Mastromonaco, Ralph",100,1
201402,313,Inter Macro Theory,"Dombeck, Brian",87,1
201402,313,Inter Macro Theory,"Gelfer, Sacha",93,1
201402,313,Inter Macro Theory,"Nguyen, Tuan Anh",90,1
201402,313,Inter Macro Theory,"Thoma, Mark",78,1
201402,320,Intro to Econometrics,"Wilson, Wes",113,1
201402,320,Intro to Econometrics,"Thoma, Mark",27,1
201402,327,Intro to Game Theory,"Ellis, Chris",59,1
201402,330,Urban and Regional,"Urbancic, Mike",90,1
201402,333,Resource and Env Econ Issues,"Fitch-Fleischmann, Benjamin",89,1
201402,350,Labor Market Issues,"Corbett, Colin",89,1
201402,360,Issues in IO,"Wyer, Joseph",81,1
201402,370,Money and Banking,"Check, Adam",90,1
201402,380,Intl Econ Issues,"Roehling, Allison",90,1
201402,380,Intl Econ Issues,"Haynes, Stephen",90,1
201402,399,Behavioral Econ,"Wu, Jiabin",42,1
201402,410,Globalization,"Cristea, Anca",74,2
201402,410,Political Economy,"Ellis, Chris",50,2
201402,413,Advanced Macro Theory,"Gray, Joanna",12,2
201402,418,Econ Analysis of Community Issue,"Stone, Joe",16,1
201402,421,Intro to Econometrics,"Weber, Caroline",116,1
201402,424,Econometrics II,"Evans, George",26,2
201402,434,Environmental Econ,"Mastromonaco, Ralph",25,2
201402,440,Public Econ,"Ellis, Chris",78,2
201402,441,Public Econ: Taxation,"Weber, Caroline",34,2
201402,450,Labor Economics,"Waddell, Glen",78,2
201402,460,Theory of IO,"Wilson, Wes",79,2
201402,480,Intl Finance,"Chakraborty, Shankha",72,2
201402,481,Intl Trade,"Cristea, Anca",68,2
201402,607,Core Macro,"Chakraborty, Shankha",15,3
201402,607,Core Micro,"van den Nouweland, Anne",17,3
201402,607,Game Theory,"van den Nouweland, Anne",7,3
201402,607,International Trade,"Sly, Nick",7,3
201402,607,Macro Field,"Evans, George",9,3
201402,607,Micro Econometrics,"Waddell, Glen",18,3
201402,201,Intro to Econ Analysis: Micro,"Harbaugh, Bill",31,0
201402,311,Inter Micro Theory,"Hansen, Ben",117,1
201401,101,Contemporary Economic Issues,"Urbancic, Mike",224,0
201401,201,Intro to Econ Analysis: Micro,"Sly, Nick",336,0
201401,201,Intro to Econ Analysis: Micro,"Query, Jason",281,0
201401,201,Intro to Econ Analysis: Micro,"Haynes, Stephen",166,0
201401,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",275,0
201401,202,Intro to Econ Analysis: Macro,"Duy, Tim",335,0
201401,202,Intro to Econ Analysis: Macro,"Haynes, Stephen",140,0
201401,311,Inter Micro Theory,"McKenzie, Taylor",91,1
201401,311,Inter Micro Theory,"Wyer, Joseph",89,1
201401,311,Inter Micro Theory,"Thacker, Michael",103,1
201401,313,Inter Macro Theory,"Check, Adam",91,1
201401,313,Inter Macro Theory,"Gelfer, Sacha",83,1
201401,313,Inter Macro Theory,"Fulton, Chad",89,1
201401,320,Intro to Econometrics,"Piger, Jeremy",125,1
201401,327,Intro to Game Theory,"Wilson, Matthew",90,1
201401,333,Resource and Env Econ Issues,"Kolstoe, Sonja",65,1
201401,340,Issues in Public Econ,"Voorheis, John",83,1
201401,350,Labor Market Issues,"Corbett, Colin",89,1
201401,360,Issues in IO,"Thompson, Jonathan",88,1
201401,380,Intl Econ Issues,"Haynes, Stephen",94,1
201401,390,Probs/Issues in Dev Econ,"Selby, Rebekah",87,1
201401,399,Behavioral Econ,"Wu, Jiabin",24,1
201401,410,Math Econ,"McGough, Bruce",66,2
201401,410,Natural Resource Econ,"Cameron, Trudy",51,2
201401,411,Advanced Micro Theory,"van den Nouweland, Anne",16,2
201401,421,Intro to Econometrics,"Wilson, Wes",119,1
201401,423,Econometrics,"Lambert, Peter",30,2
201401,427,Games and Decisions,"van den Nouweland, Anne",45,2
201401,428,Behav and Exp Econ,"Harbaugh, Bill",66,2
201401,451,Issues in Labor Economics,"Kuhn, Mike",60,2
201401,481,Intl Trade,"Sly, Nick",57,2
201401,490,Econ Growth and Development,"Burlando, Alfredo",51,2
201401,607,Core Macro,"McGough, Bruce",15,3
201401,607,Core Micro,"Wu, Jiabin",18,3
201401,607,Development,"Burlando, Alfredo",13,3
201401,607,Industrial Organizations,"Wilson, Wes",5,3
201401,607,Public,"Lambert, Peter",12,3
201401,607,Time Series,"Piger, Jeremy",21,3
201401,399,Health Econ,"Lee, Logan",35,1
